id_osm,data_implementacao
4328549,2023-11-01
4330744,2024-04-01
4331361,2023-10-01
4331371,2024-04-01
4331374,2023-10-01
4331461,2023-10-01
4331480,NA
4331480,NA
4331584,2024-06-01
4331588,2024-06-01
4363152,2022-10-01
4363175,2024-06-01
4769241,2024-05-01
8140927,NA
8140927,NA
8369656,2022-10-01
13972584,2024-06-01
13972603,2024-06-01
14518877,2023-11-01
15722866,2024-05-01
16148297,NA
16148297,NA
16149145,2023-12-01
18621149,2023-12-01
27692740,2024-04-01
27692740,2024-04-01
27803771,2024-04-01
30080360,2024-05-01
37570881,2023-11-01
37926774,2024-06-01
37926776,2022-10-01
39124601,2024-06-01
39150426,2022-10-01
39150427,2024-06-01
39151546,2024-06-01
39151548,2024-06-01
39152912,2024-06-01
48508761,2024-03-01
49436033,2023-10-01
49436035,2023-10-01
49733651,2023-12-01
49733653,2023-12-01
61819124,2022-01-01
88573170,2023-12-01
95493126,2024-04-01
95994395,2023-11-01
96085767,2024-04-01
110434799,2024-05-01
122735119,2023-11-01
122735120,2023-11-01
123825189,2024-04-01
124962804,2024-04-01
124962804,2024-04-01
125450906,2023-10-01
125450907,2023-10-01
125451153,2024-04-01
125451153,2024-04-01
125998380,2022-10-01
125998396,2022-10-01
126251699,2023-12-01
126251706,2023-12-01
128821029,2023-12-01
128821033,2023-12-01
131681593,2024-06-01
134462238,2023-11-01
134462239,2023-11-01
134462241,2023-11-01
134462243,2023-11-01
153104059,2023-12-01
153108589,2023-12-01
153108590,2023-12-01
153108591,2023-12-01
153108592,2023-12-01
154401014,2023-12-01
161226180,2023-12-01
161226181,2023-12-01
161393841,2024-06-01
170363934,2023-12-01
170363948,2023-12-01
183017567,2022-10-01
183017623,2022-10-01
183090706,2023-12-01
183090715,2023-12-01
183312965,2022-10-01
183343599,2022-10-01
183462538,2023-10-01
183462544,2023-10-01
183489035,2023-12-01
183752941,2024-06-01
184013921,2023-12-01
185783783,2023-12-01
185783795,2023-12-01
188364712,2023-12-01
188364713,2023-12-01
188364714,2023-12-01
188364715,2023-12-01
191591072,2023-10-01
195294103,2023-12-01
195294104,2023-12-01
195841081,2024-06-01
195841083,2024-06-01
196290635,2024-05-01
196799726,2023-12-01
196799727,2023-12-01
200188105,2023-12-01
200188106,2023-12-01
200188107,2023-12-01
200188108,2023-12-01
200188109,2023-12-01
200188110,2023-12-01
200188111,2023-12-01
200188112,2023-12-01
200188113,2023-12-01
200188114,2023-12-01
200188115,2023-12-01
200188116,2023-12-01
207738559,2023-12-01
207738563,2023-12-01
207738564,2023-12-01
207738566,2023-12-01
211051259,2023-12-01
225435386,2023-12-01
225435395,2023-12-01
226752644,NA
226752644,NA
227324138,2023-12-01
227335672,2022-01-01
227339306,2022-10-01
227339610,2022-10-01
227340373,2022-10-01
227340906,2022-10-01
227341991,2022-10-01
227341996,2022-10-01
227342532,2022-01-01
227617768,2024-04-01
227617769,2024-04-01
227632104,2024-06-01
227632107,2024-06-01
228034418,2023-10-01
231391718,2023-12-01
231731903,2024-05-01
234501216,2024-04-01
235497096,2023-12-01
235497098,2023-12-01
236011735,2024-06-01
236732297,2023-12-01
236732307,2024-06-01
236899683,2024-06-01
237048426,2023-12-01
237673747,2024-06-01
237745075,2023-12-01
237745076,2023-12-01
237745077,2023-12-01
237745080,2023-12-01
237745081,2023-12-01
238367334,2024-06-01
238445520,2024-06-01
238497410,2024-06-01
238566805,2024-06-01
238811061,2024-06-01
239019893,2023-12-01
239019896,2023-12-01
239019899,2023-12-01
239500321,2024-05-01
241726682,2023-12-01
241906989,2023-10-01
244074938,2023-11-01
244074939,2023-11-01
244739164,2024-05-01
244821386,2024-05-01
249070426,2023-11-01
249070427,2023-11-01
249070428,2023-11-01
250844667,2024-04-01
250963983,2023-11-01
250963988,2023-11-01
250963994,2023-11-01
250963998,2023-11-01
251041420,2023-11-01
251265981,2023-11-01
252170951,2023-12-01
252344056,2023-11-01
252778745,2023-11-01
255792501,2023-12-01
255792502,2023-12-01
260187489,2024-05-01
260187490,2024-05-01
261785588,2023-12-01
261785590,2023-12-01
261785593,2023-12-01
261785597,2023-12-01
262851645,2024-05-01
262851646,2024-05-01
262851647,2024-05-01
262851649,2024-05-01
269678072,2023-12-01
269678074,2023-12-01
269678075,2023-12-01
273593640,2022-01-01
286269715,2023-10-01
286269716,2023-10-01
286269721,2022-01-01
286747359,2022-10-01
286747360,2022-10-01
286749389,2022-10-01
286749391,2022-10-01
286750023,2022-10-01
286750024,2022-10-01
289959607,2024-04-01
289959611,NA
289959611,NA
289959613,NA
289959613,NA
290223559,2023-12-01
290573338,2023-12-01
290573339,2023-12-01
292191460,2024-06-01
292191462,2024-06-01
292191463,2024-06-01
292191465,2024-06-01
292191469,2024-06-01
292191471,2024-06-01
292191473,2024-06-01
292191478,2024-06-01
292191480,2024-06-01
300339900,2023-11-01
320124209,NA
320124209,NA
320124235,2023-12-01
321139487,2022-01-01
321139488,2022-01-01
321830193,2024-04-01
322495611,2023-12-01
325009427,2023-12-01
325009428,2023-12-01
325015628,2023-12-01
325049851,2023-11-01
325049852,2023-11-01
325197943,2023-11-01
325320407,2023-12-01
325320411,2023-12-01
325320414,2023-12-01
325320418,2023-12-01
326382891,2022-10-01
326382893,2022-10-01
326382895,2022-10-01
326382897,2022-10-01
326382899,2022-10-01
326382901,2022-10-01
326382903,2022-10-01
326382905,2022-10-01
327754982,2023-10-01
328584565,2023-12-01
335804531,2024-05-01
337873115,2024-05-01
366512495,2022-10-01
366512497,2022-10-01
369907161,2023-12-01
369907162,2023-12-01
369907180,2023-12-01
369907182,2023-12-01
369907184,2023-12-01
369907186,2023-12-01
369907187,2023-12-01
369907189,2023-12-01
369907191,2023-12-01
369907193,2023-12-01
369907195,2023-12-01
369907197,2023-12-01
369907199,2023-12-01
369907202,2023-12-01
369907203,2023-12-01
369907206,2023-12-01
369907207,2023-12-01
369907208,2023-12-01
369907210,2023-12-01
369907212,2023-12-01
369907213,2023-12-01
369907215,2023-12-01
371887091,2024-05-01
371895565,NA
371895565,NA
375827091,2023-12-01
375827097,2023-12-01
376490008,2022-10-01
401011169,2023-12-01
401011170,2023-12-01
405498517,2023-11-01
408879422,2023-11-01
408879423,2023-11-01
411754838,2023-12-01
416453603,2023-12-01
416453604,2023-12-01
417991507,2023-12-01
419494694,2023-12-01
419519987,2024-05-01
419519988,2024-05-01
422240316,2023-12-01
439281420,2022-10-01
439631884,2023-12-01
439634848,2023-12-01
439634849,2023-12-01
446910397,2023-12-01
446910398,2023-12-01
446913614,2023-12-01
447110036,2024-05-01
449609753,2023-11-01
449609813,2023-11-01
449609814,2023-11-01
449610017,2023-11-01
449610018,2023-11-01
449610530,2023-11-01
449610532,2023-11-01
449610533,2023-11-01
449610860,2023-11-01
449610861,2023-11-01
449611068,2023-11-01
449611069,2023-11-01
449611100,2023-11-01
449611101,2023-11-01
449611175,2023-11-01
449611176,2023-11-01
449611215,2023-11-01
449611216,2023-11-01
450151832,2023-12-01
453762467,2023-12-01
453762468,2023-12-01
453762474,2023-12-01
453860211,2024-06-01
453860212,2024-06-01
453860213,2024-06-01
453860214,2024-06-01
454576372,2024-06-01
454576373,2024-06-01
456246727,2024-06-01
470027083,2023-11-01
471338742,2023-11-01
472104811,2023-11-01
472104812,2023-11-01
479142984,2023-11-01
479142985,2023-11-01
500738884,2023-12-01
506584350,2023-12-01
518581380,2022-01-01
518581381,2022-01-01
521396094,2022-10-01
524220662,2022-01-01
524259146,2022-01-01
524259147,2022-01-01
524259563,2022-01-01
524259573,2022-01-01
524259806,2022-01-01
524259836,2022-01-01
524260220,2022-01-01
524260423,2022-01-01
524260424,2022-01-01
524262336,2023-10-01
524262337,2023-10-01
524263466,2023-10-01
524268311,2024-04-01
524268312,2024-04-01
540083699,2023-11-01
540083700,2023-11-01
569473915,2023-12-01
615015087,2023-12-01
615324080,2023-12-01
617085816,2022-10-01
617086232,2022-10-01
617086691,2022-10-01
617088075,2022-10-01
617088076,2022-10-01
617088655,2022-10-01
617088702,2024-06-01
617088820,2022-10-01
617088988,2024-06-01
617089233,2022-10-01
618144971,2023-12-01
628293209,2023-12-01
641993309,2023-12-01
649260332,2023-12-01
649260333,2023-12-01
649260336,2023-12-01
659063041,2023-12-01
665436343,2023-12-01
679365052,2024-06-01
679365053,2024-06-01
679365054,2024-06-01
679365055,2024-06-01
679365056,2024-06-01
701759523,2022-10-01
701759524,2022-10-01
704514968,2022-01-01
704515375,2022-10-01
704522792,2022-10-01
704522793,2022-10-01
704522794,2022-10-01
704522795,2022-10-01
704523180,2022-10-01
704523460,2022-10-01
704523726,2022-10-01
704729289,2022-10-01
704729290,2022-10-01
704729291,2022-10-01
704729292,2022-10-01
704729567,2022-10-01
704729568,2022-10-01
704768957,2022-10-01
704777901,2022-10-01
704802124,2022-10-01
704803228,2022-10-01
704808237,2022-10-01
713675394,2023-12-01
753433446,2023-11-01
759449665,2024-04-01
759449673,2022-10-01
759449677,2022-10-01
762991126,2023-11-01
762991131,2023-11-01
766711365,2023-11-01
766730371,2023-11-01
775808207,2024-04-01
775808210,2024-06-01
775808222,2024-06-01
780570635,2023-12-01
788308774,2023-10-01
810247874,2024-04-01
815966195,2022-10-01
839769187,2022-10-01
839770001,2022-10-01
842455159,2023-10-01
842760216,2024-05-01
850580104,2023-12-01
855400372,2023-11-01
902747881,2023-12-01
902747882,2023-12-01
907566426,2022-10-01
909954984,2023-12-01
909954997,2023-12-01
910645454,2023-12-01
911542379,2023-12-01
911542380,2023-12-01
913345016,2024-05-01
917091784,2023-12-01
917608562,2022-10-01
923545472,2023-12-01
931227268,2023-12-01
931227277,2023-12-01
931227278,2023-12-01
933030541,2023-12-01
933030542,2023-12-01
933030543,2023-12-01
933046035,2023-12-01
933079323,2023-12-01
933373475,NA
933373475,NA
933562137,2023-12-01
933617621,2023-12-01
933617622,2023-12-01
933617623,2023-12-01
933632136,2023-12-01
933632137,2023-12-01
933921782,2023-12-01
933942985,2023-12-01
933942986,2023-12-01
933942987,2023-12-01
933942988,2023-12-01
933942989,2023-12-01
933966224,2023-12-01
933966225,2023-12-01
933966226,2023-12-01
934340895,2023-12-01
934341956,2023-11-01
934784494,2024-06-01
935465413,2023-12-01
935618722,2024-05-01
935618723,2024-05-01
935618856,2024-05-01
935618857,2024-05-01
935894938,2024-05-01
935936433,2024-04-01
936379310,2024-05-01
936383325,2024-05-01
936490292,2024-05-01
936490293,2024-05-01
936492979,2024-06-01
936492981,2024-06-01
936509253,2024-06-01
936514333,2024-05-01
936514745,2024-05-01
936519958,2024-06-01
936519959,2024-06-01
936519960,2024-06-01
936520314,2024-06-01
936520315,2024-06-01
936520318,2024-06-01
936777125,2023-12-01
936793528,2023-12-01
936793531,2023-12-01
936793532,2023-12-01
936793533,2023-12-01
936793534,2023-12-01
936802547,2023-11-01
936868440,2023-10-01
936875568,2023-12-01
936906937,2022-01-01
937301896,2023-12-01
937340957,2023-12-01
937341789,2023-12-01
937341791,2023-12-01
937424999,2024-04-01
937436791,2023-12-01
938425491,2024-06-01
938571146,2022-10-01
938598494,2023-12-01
938598495,2023-12-01
938598496,2023-12-01
938598497,2023-12-01
938598499,2023-12-01
938598500,2023-12-01
938602002,2023-12-01
938602003,2023-12-01
938602004,2023-12-01
938602005,2023-12-01
938602006,2023-12-01
938602007,2023-12-01
938880519,2022-10-01
938880520,2022-10-01
939058934,2024-05-01
939058935,2024-05-01
939137478,2023-12-01
939534176,2024-05-01
940020667,2024-04-01
940061084,2024-04-01
940518725,2024-06-01
940518727,2024-06-01
940518728,2024-06-01
940518730,2024-06-01
940519057,2023-11-01
940519401,2023-11-01
940520382,2023-11-01
940520383,2023-11-01
940521369,2023-11-01
940521370,2023-11-01
941538921,2023-12-01
941591767,2024-05-01
941591768,2024-05-01
941591769,2024-05-01
941591770,NA
941591770,NA
941591774,2023-12-01
941591776,2023-12-01
941591777,2023-12-01
941642312,2024-05-01
941833271,2023-11-01
941836714,2023-11-01
941849573,2023-11-01
941960448,2023-11-01
941960449,2023-11-01
941972651,2023-11-01
942380415,2024-06-01
942380416,2024-06-01
942385366,2023-11-01
942642432,2023-11-01
942716449,2024-06-01
942731233,2024-06-01
943023992,2022-10-01
943031362,2022-01-01
943941008,2023-12-01
943943780,2022-01-01
944315271,2024-06-01
944411799,2022-01-01
944454222,2024-06-01
944841765,2022-10-01
945273863,2023-12-01
945273864,2023-12-01
945278714,2023-12-01
945561097,2023-12-01
945561099,2023-12-01
945566055,2023-12-01
945566056,2023-12-01
946062934,2024-05-01
946062935,2024-05-01
947395774,2023-12-01
947395775,2023-12-01
947395776,2023-12-01
947513351,2023-12-01
947513352,2023-12-01
947939040,2024-06-01
947939041,2024-06-01
947939042,2024-06-01
947939044,2024-06-01
947939045,2024-06-01
948177177,2023-12-01
948253445,2023-12-01
949839345,2023-12-01
949840713,2023-12-01
949840714,2023-12-01
950187962,2024-06-01
951779246,2023-12-01
951779247,2023-12-01
960211223,2023-12-01
961151339,2024-04-01
970766035,NA
970766035,NA
975107312,2023-11-01
976373693,2023-12-01
976373694,2023-12-01
976683401,2023-12-01
976786739,NA
976786739,NA
976797433,NA
976797433,NA
977556312,2023-12-01
978822151,2022-10-01
984378200,2023-11-01
997426060,2022-01-01
1005450639,2024-04-01
1008684750,2023-12-01
1026102017,2023-12-01
1026102018,2023-12-01
1027044217,2023-11-01
1027044220,2023-11-01
1027044221,2023-11-01
1027044227,2023-11-01
1027044228,2023-11-01
1027044229,2023-11-01
1027413469,2024-05-01
1027413470,2024-05-01
1030694684,2024-04-01
1030694687,2023-12-01
1030698979,2023-12-01
1030698980,2023-12-01
1031681178,2023-12-01
1031681194,2023-12-01
1031681195,2023-12-01
1051950877,2023-12-01
1051950878,2023-12-01
1066427674,2024-05-01
1066427675,2024-05-01
1094556965,2024-05-01
1123479517,2023-11-01
1123479518,2023-11-01
1134397729,2023-12-01
1138535165,2023-12-01
1138535179,2023-12-01
1167235833,2024-06-01
1172641099,2023-12-01
1264623498,2023-11-01
1264623499,2023-11-01
1303520446,NA
1303520446,NA
1303520447,NA
1303520447,NA
1303539923,2024-04-01
4331584,2024-06-01
39150427,2024-06-01
39151546,2024-06-01
39151548,2024-06-01
39152912,2024-06-01
195841081,2024-06-01
227632104,2024-06-01
227632107,2024-06-01
936509253,2024-06-01
942380415,2024-06-01
942380416,2024-06-01
